customer_id,first_name,last_name,count
148,ELEANOR,HUNT,46
526,KARL,SEAL,45
144,CLARA,SHAW,42
236,MARCIA,DEAN,42
75,TAMMY,SANDERS,41
197,SUE,PETERS,40
469,WESLEY,BULL,40
137,RHONDA,KENNEDY,39
178,MARION,SNYDER,39
468,TIM,CARY,39
5,ELIZABETH,BROWN,38
295,DAISY,BATES,38
410,CURTIS,IRBY,38
459,TOMMY,COLLAZO,38
176,JUNE,CARROLL,37
198,ELSIE,KELLEY,37
257,MARSHA,DOUGLAS,37
366,BRANDON,HUEY,37
29,ANGELA,HERNANDEZ,36
267,MARGIE,WADE,36
348,ROGER,QUINTANILLA,36
354,JUSTIN,NGO,36
380,RUSSELL,BRINSON,36
439,ALEXANDER,FENNELL,36
21,MICHELLE,CLARK,35
50,DIANE,COLLINS,35
91,LOIS,BUTLER,35
196,ALMA,AUSTIN,35
204,ROSEMARY,SCHMIDT,35
273,PRISCILLA,LOWE,35
274,NAOMI,JENNINGS,35
368,HARRY,ARCE,35
371,BILLY,POULIN,35
373,LOUIS,LEONE,35
381,BOBBY,BOUDREAU,35
403,MIKE,WAY,35
506,LESLIE,SEWARD,35
26,JESSICA,HALL,34
30,MELISSA,KING,34
38,MARTHA,GONZALEZ,34
46,CATHERINE,CAMPBELL,34
66,JANICE,WARD,34
119,SHERRY,MARSHALL,34
129,CARRIE,PORTER,34
138,HAZEL,WARREN,34
147,JOANNE,ROBERTSON,34
168,REGINA,BERRY,34
181,ANA,BRADLEY,34
207,GERTRUDE,CASTILLO,34
211,STACEY,MONTGOMERY,34
239,MINNIE,ROMERO,34
241,HEIDI,LARSON,34
360,RALPH,MADRIGAL,34
372,STEVE,MACKENZIE,34
473,JORGE,OLIVARES,34
502,BRETT,CORNWELL,34
566,CASEY,MENA,34
576,MORRIS,MCCARTER,34
7,MARIA,MILLER,33
51,ALICE,STEWART,33
64,JUDITH,COX,33
84,SARA,PERRY,33
86,JACQUELINE,LONG,33
102,CRYSTAL,FORD,33
114,GRACE,ELLIS,33
172,BERNICE,WILLIS,33
230,JOY,GEORGE,33
237,TANYA,GILBERT,33
297,SHERRI,RHODES,33
314,GEORGE,LINTON,33
390,SHAWN,HEATON,33
438,BARRY,LOVELACE,33
451,JIM,REA,33
454,ALEX,GRESHAM,33
462,WARREN,SHERROD,33
522,ARNOLD,HAVENS,33
533,JESSIE,MILAM,33
1,MARY,SMITH,32
15,HELEN,HARRIS,32
28,CYNTHIA,YOUNG,32
35,VIRGINIA,GREEN,32
89,JULIA,FLORES,32
120,SYLVIA,ORTIZ,32
122,THELMA,MURRAY,32
125,ETHEL,WEBB,32
128,MARJORIE,TUCKER,32
141,DEBBIE,REYES,32
158,VERONICA,STONE,32
167,SALLY,PIERCE,32
209,TONYA,CHAPMAN,32
242,GLENDA,FRAZIER,32
244,VIOLA,HANSON,32
245,COURTNEY,DAY,32
